Feature,Cost
Amplitude Envelope,4.400312900543213e-05
RMS,3.2573938369750977e-05
Zero Crossing Rate (ZCR),3.4049153327941895e-05
Short-Term Energy (STE),2.5466084480285645e-05
Temporal Centroid,8.26120376586914e-05
Envelope Modulation Rate,5.81592321395874e-05
Silence Ratio,3.1381845474243164e-05
Spectral Centroid,0.00039520859718322754
Spectral Flatness,0.00035628676414489746
Spectral Contrast,0.0003472864627838135
Spectral Spread,0.00031904876232147217
Spectral Entropy,0.0003364980220794678
Spectral Irregularity,0.00030750036239624023
Mean,1.1175870895385742e-05
Variance,3.635883331298828e-05
Standard Deviation,3.37064266204834e-05
Kurtosis,0.0004053562879562378
Skewness,0.000311434268951416
Entropy,9.746849536895752e-05
Sharpness,0.0002808123826980591
Timbre,0.0011397302150726318
Reverberation,0.000594601035118103
HNR,0.0005763620138168335
Jitter,6.414949893951416e-05
Shimmer,2.2962689399719238e-05
Group Delay,6.718933582305908e-05
Wavelet Features,0.0002883225679397583
Temporal Spectral Slope,5.996227264404297e-05
Chroma Features,0.000659063458442688
Low Band Energy,1.9043684005737305e-05
Mid Band Energy,1.2680888175964355e-05
High Band Energy,0.0004749596118927002
LH1000,0.00045737624168395996
Transient-to-Sustained Ratio,2.4646520614624023e-05
Tonality Index,0.0002843588590621948
Spectral Roughness,0.0003618597984313965
Spectral Texture Coefficients,0.00036793947219848633
